station_id,latitude,longitude,elevation,measure,slope_percentperyear,slope_lci,slope_uci,sigstat,intercept,start_year,end_year
1A05,53.95,-121.433333333333,1693,swe,0.462782188670514,0.0591624957107193,0.804084052815017,TRUE,-915.364368663862,1953,2014
1B01,53.7166666666667,-126.416666666667,1489,swe,-0.12733622284184,-0.476676881171263,0.220633299284985,FALSE,251.437277420423,1953,2014
1B02,53.5833333333333,-127.633333333333,1319,swe,0.199318961296644,-0.0352045812895119,0.451715926156333,FALSE,-399.949879989344,1952,2014
1B06,53.35,-125.266666666667,1596,swe,-0.170294275855735,-0.531349628055261,0.177116542685087,FALSE,337.079676204721,1953,2014
1B07,53.45,-126.283333333333,1502,swe,-0.227871070380208,-0.584957545349286,0.132670783481282,FALSE,451.361592709471,1953,2014
1C01,49.8,-120.866666666667,994,swe,-0.99319236865942,-1.54344512195122,-0.515625,TRUE,1985.51609205163,1950,2014
1C05,50.6833333333333,-122.616666666667,1715,swe,-0.478022618631223,-0.865227076084756,-0.0483728129907049,TRUE,952.973067506121,1952,2014
1C06,50.9,-121.816666666667,1209,swe,-4.74345730027548,-7.78780541492406,-1.05139128070334,TRUE,9464.38824882103,1955,2014
1C08,53.0166666666667,-123.65,1029,swe,-1.4765057113188,-3.5796155880797,0.0,FALSE,2979.40031152648,1957,2014
1C23,52.7333333333333,-120.55,1687,swe,0.0371284831158215,-0.210793968657571,0.25794525112045,FALSE,-71.777711771584,1950,2013
1C37,50.7833333333333,-122.733333333333,1980,swe,-0.478000188839581,-0.84501172984319,-0.0501605136436562,TRUE,953.158341988482,1950,2014
1C38,50.85,-123.166666666667,1884,swe,-0.484905037513836,-0.865664594318092,-0.0498412948243751,TRUE,966.102051328698,1952,2013
1C39,50.8333333333333,-123.45,1393,swe,-0.534421330881508,-0.984561161552312,-0.0156721797912466,TRUE,1066.84863808758,1952,2014
1C40,51.1333333333333,-122.783333333333,1946,swe,-0.506774226910746,-0.93637875207841,-0.052142586272279,TRUE,1007.84982935154,1952,2014
1D08,49.5666666666667,-122.3,1211,swe,-0.143579224965204,-0.630952121685401,0.36014405762305,FALSE,295.748506127234,1958,2014
1D16,49.3166666666667,-122.066666666667,1147,swe,-0.0178383768846603,-0.493912297950264,0.374006545114539,FALSE,39.4343151005146,1950,2014
1F01A,50.1333333333333,-119.05,1262,swe,-0.69268485765814,-1.22977346278317,-0.173370319001387,TRUE,1391.118442142,1950,2014
1F02,50.9833333333333,-119.183333333333,1168,swe,-0.467532467532467,-0.916730328495035,0.0233766233766231,FALSE,940.883116883115,1956,2014
2A01A,52.7666666666667,-119.266666666667,866,swe,-2.40853746989933,-3.92960874765078,-0.942444734710075,TRUE,4857.96326025357,1950,2014
2A02,51.25,-117.483333333333,1249,swe,-0.134150900167613,-0.38067355871915,0.142441124335275,FALSE,268.284918424194,1950,2014
